Timestamp: 586517138.344596	 X: 1167.42850977431 Y:516.821641699882
Timestamp: 586517150.119879	 X: 1160.70614432814 Y:522.3110288696
Timestamp: 586517161.783905	 X: 1157.45463193888 Y:517.317653466617
Timestamp: 586517171.935889	 X: 1114.10203919235 Y:468.437221702083
Timestamp: 586517183.422969	 X: 1037.44812325763 Y:379.905433004693
Timestamp: 586517194.343085	 X: 971.34857683248 Y:306.469785483085
Timestamp: 586517205.229947	 X: 951.415663924297 Y:284.850097792142
Timestamp: 586517216.580315	 X: 931.595752347021 Y:262.902917719872
Timestamp: 586517228.113787	 X: 903.626819275833 Y:230.311303695748
Timestamp: 586517238.653737	 X: 893.709884907043 Y:218.814838618665
Timestamp: 586517249.109115	 X: 893.355422979598 Y:220.930760684908
Timestamp: 586517261.060523	 X: 895.335761439 Y:221.070345684623
Timestamp: 586517271.496605	 X: 902.539366966796 Y:143.692230665365
Timestamp: 586517281.069308	 X: 911.274021526007 Y:63.4372524386484
Timestamp: 586517292.723481	 X: 915.795870104298 Y:30.271803316815
Timestamp: 586517303.393985	 X: 909.522486331916 Y:82.8972743100948
Timestamp: 586517315.380699	 X: 914.608659382188 Y:148.942798081614
Timestamp: 586517325.71045	 X: 918.257841001405 Y:150.894212916087
Timestamp: 586517337.041523	 X: 920.329258435373 Y:151.898285931377
Timestamp: 586517360.55473	 X: 950.242817756263 Y:60.67603276665
Timestamp: 586517371.076205	 X: 952.633961267008 Y:55.7617863357943
Timestamp: 586517382.65689	 X: 1010.86613167475 Y:32.7155783057069
Timestamp: 586517394.230185	 X: 990.577413916586 Y:115.900260620808
Timestamp: 586517404.132557	 X: 1003.22145439296 Y:111.481697987231
Timestamp: 586517415.939042	 X: 1033.0820448461 Y:126.429315204543
Timestamp: 586517427.333339	 X: 1040.6148732876 Y:125.963812108232
Timestamp: 586517437.764494	 X: 1042.9959496548 Y:128.280095824563
Timestamp: 586517448.474821	 X: 1055.13227376878 Y:147.60105151225
Timestamp: 586517460.169638	 X: 1053.84126863463 Y:154.946085361539
Timestamp: 586517470.613931	 X: 1054.35850171698 Y:158.121111358111
Timestamp: 586517481.984005	 X: 1053.97993366005 Y:161.460385048048
Timestamp: 586517549.168644	 X: 1026.3861148206 Y:201.494025627414
Timestamp: 586517560.913547	 X: 1026.79136575458 Y:201.510395937478
Timestamp: 586517570.867648	 X: 1028.17296557187 Y:202.32643068222
Timestamp: 586517582.872427	 X: 1030.08421020021 Y:206.51855194753
Timestamp: 586517594.070482	 X: 1029.91486135039 Y:217.401122307718
Timestamp: 586517603.983939	 X: 1030.02274490468 Y:217.210222671764
Timestamp: 586517615.843385	 X: 1030.52656529568 Y:215.920729931285
Timestamp: 586517626.822209	 X: 1028.64862126396 Y:216.08533099675
